id,code,name,category,brand,unit,region,market_price_fcfa,official_price_fcfa,price_date,price_type,official_status,source,source_url,catalog_status,verification_note
1,JP-00001,Riz brisé ordinaire local,Céréales,,kg,Dakar,363.0,300.0,2026-05-01,market_average,homologué,"ANSD – IHPC base 2023, mai 2026",https://www.ansd.sn/sites/default/files/2026-06/IHPC_base2023_Mai-26_.pdf,verified_price,Prix chiffré avec source identifiée
2,JP-00002,Riz parfumé brisé importé,Céréales,,kg,Dakar,505.0,,2026-05-01,market_average,non_homologué,"ANSD – IHPC base 2023, mai 2026",https://www.ansd.sn/sites/default/files/2026-06/IHPC_base2023_Mai-26_.pdf,verified_price,Prix chiffré avec source identifiée
3,JP-00003,Riz entier ordinaire local,Céréales,,kg,Dakar,500.0,,2026-05-01,market_average,non_homologué,"ANSD – IHPC base 2023, mai 2026",https://www.ansd.sn/sites/default/files/2026-06/IHPC_base2023_Mai-26_.pdf,verified_price,Prix chiffré avec source identifiée
4,JP-00004,Maïs séché en grains,Céréales,,kg,Dakar,347.0,,2026-05-01,market_average,non_homologué,"ANSD – IHPC base 2023, mai 2026",https://www.ansd.sn/sites/default/files/2026-06/IHPC_base2023_Mai-26_.pdf,verified_price,Prix chiffré avec source identifiée
5,JP-00005,Mil en grain,Céréales,,kg,Dakar,388.0,,2026-05-01,market_average,non_homologué,"ANSD – IHPC base 2023, mai 2026",https://www.ansd.sn/sites/default/files/2026-06/IHPC_base2023_Mai-26_.pdf,verified_price,Prix chiffré avec source identifiée
6,JP-00006,Riz parfumé brisé 100 % Thiof,Céréales,Thiof,sac_25kg,Sénégal,16280.0,,2026-09-09,online_retail,non_homologué,Jumia Sénégal – fiche produit,https://www.jumia.sn/epicerie/?oos=1,verified_price,Prix chiffré avec source identifiée
7,JP-00007,Riz entier de la Vallée Sunu Thiep,Céréales,SUNU THIEP,sac_25kg,Sénégal,9490.0,,2026-09-09,online_retail,non_homologué,Jumia Sénégal – fiche produit,https://www.jumia.sn/epicerie/?oos=1,verified_price,Prix chiffré avec source identifiée
8,JP-00008,Riz blanc de la Vallée Karolina,Céréales,Karolina,sac_5kg,Sénégal,3290.0,,2026-09-09,online_retail,non_homologué,Jumia Sénégal – fiche produit,https://www.jumia.sn/epicerie/?oos=1,verified_price,Prix chiffré avec source identifiée
9,JP-00009,Couscous fin Diari,Céréales,Diari,kg,Sénégal,1000.0,,2026-09-09,online_retail,non_homologué,Jumia Sénégal – fiche produit,https://www.jumia.sn/epicerie/?oos=1,verified_price,Prix chiffré avec source identifiée
10,JP-00010,Vermicelles Maman,Pâtes,Maman,1kg,Sénégal,1120.0,,2026-09-09,online_retail,non_homologué,Jumia Sénégal – lot 500 g x 2,https://www.jumia.sn/epicerie/?oos=1,verified_price,Prix chiffré avec source identifiée
11,JP-00011,Spaghetti Auntie B,Pâtes,Auntie B,1kg,Sénégal,890.0,,2026-09-09,online_retail,non_homologué,Jumia Sénégal – lot 200 g x 5,https://www.jumia.sn/epicerie/cuisson/,verified_price,Prix chiffré avec source identifiée
12,JP-00012,Sucre cristallisé en poudre,Sucre,,kg,Dakar,600.0,600.0,2026-05-01,market_average,homologué,"ANSD – IHPC base 2023, mai 2026",https://www.ansd.sn/sites/default/files/2026-06/IHPC_base2023_Mai-26_.pdf,verified_price,Prix chiffré avec source identifiée
13,JP-00013,Sucre en poudre Sunu Suker,Sucre,CSS,kg,Sénégal,750.0,600.0,2026-09-09,online_retail,homologué,Jumia Sénégal – CSS,https://www.jumia.sn/epicerie-sirops-sucres-edulcorants/css/,verified_price,Prix chiffré avec source identifiée
14,JP-00014,Sucre en morceaux CSS,Sucre,CSS,kg,Sénégal,880.0,600.0,2026-09-09,online_retail,homologué,Jumia Sénégal – CSS,https://www.jumia.sn/epicerie/css/,verified_price,Prix chiffré avec source identifiée
15,JP-00015,Huile de palme raffinée,Huiles,,litre,Dakar,,1000.0,2024-06-24,official_reference,homologué,Arrêté n°09852 du 24 juin 2024 – Gouvernement du Sénégal,https://www.primature.sn/publications/communiques-officiels/arrete-ndeg-09852-du-24-juin-2024-portant-administration-des,verified_price,Prix chiffré avec source identifiée
16,JP-00016,Huile de palme raffinée,Huiles,,bidon_20L,Dakar,19000.0,19000.0,2024-06-24,official_reference,homologué,Arrêté n°09852 du 24 juin 2024,https://www.primature.sn/publications/communiques-officiels/arrete-ndeg-09852-du-24-juin-2024-portant-administration-des,verified_price,Prix chiffré avec source identifiée
17,JP-00017,Huile végétale,Huiles,,bidon_5L,Sénégal,5990.0,,2026-09-09,online_retail,non_homologué,Jumia Sénégal – catégorie supermarché,https://www.jumia.sn/corps-savons/special-price/,verified_price,Prix chiffré avec source identifiée
18,JP-00018,Huile d'arachide Seni,Huiles,Seni,bidon_5L,Sénégal,6250.0,,2026-09-09,online_retail,non_homologué,Jumia Sénégal – catégorie cuisine,https://www.jumia.sn/epicerie-cuisson/,verified_price,Prix chiffré avec source identifiée
19,JP-00019,Huile de tournesol Brinto,Huiles,Brinto,litre,Sénégal,1790.0,,2026-09-09,online_retail,non_homologué,Jumia Sénégal – catégorie cuisine,https://www.jumia.sn/epicerie-cuisson/,verified_price,Prix chiffré avec source identifiée
